,Action/Action.Execution.Speech,Action/Action.Execution,Action/Action.Imagination,Action/Action.Inhibition,Action/Action.Observation,Action/Action,Cognition/Cognition.Attention,Cognition/Cognition.Language.Orthography,Cognition/Cognition.Language.Phonology,Cognition/Cognition.Language.Semantics,Cognition/Cognition.Language.Speech,Cognition/Cognition.Language,Cognition/Cognition.Memory.Explicit,Cognition/Cognition.Memory.Working,Cognition/Cognition.Memory,Cognition/Cognition.Music,Cognition/Cognition.Reasoning,Cognition/Cognition.SocialCognition,Cognition/Cognition.Spatial,Cognition/Cognition,Emotion/Emotion.Negative.Fear,Emotion/Emotion.Negative.Sadness,Emotion/Emotion.Negative,Emotion/Emotion.Positive.Happiness,Emotion/Emotion.Positive.RewardGain,Emotion/Emotion.Positive,Emotion/Emotion,Interoception/Interoception.Sexuality,Interoception/Interoception,Perception/Perception.Audition,Perception/Perception.Somesthesis.Pain,Perception/Perception.Somesthesis,Perception/Perception.Vision.Color,Perception/Perception.Vision.Motion,Perception/Perception.Vision.Shape,Perception/Perception.Vision,Perception/Perception
Vermis VIIIa,0.803,0.928,0.115,0.048,0.0,0.395,0.451,0.161,0.085,0.12,0.152,0.117,0.195,0.264,0.137,0.06,0.203,0.328,0.099,0.16,0.319,0.133,0.201,0.137,0.085,0.131,0.12,0.788,0.756,0.512,0.851,0.98,0.138,0.424,0.21,0.153,0.347
Right VIIIa,0.204,0.286,0.255,0.159,0.618,0.202,0.162,0.194,0.182,0.21,0.2,0.172,0.867,0.178,0.325,0.694,0.34,0.154,0.7,0.196,0.567,0.13,0.817,0.141,0.142,0.787,0.125,0.05,0.875,0.258,0.591,0.53,0.502,0.349,0.412,0.134,0.177
Left VIIIb,0.808,0.046,0.711,0.907,0.414,0.037,0.92,0.154,0.11,0.124,0.147,0.125,0.154,0.29,0.146,0.016,0.195,0.11,0.252,0.15,0.147,0.141,0.132,0.181,0.482,0.64,0.245,0.234,0.283,0.275,0.555,0.503,0.441,0.152,0.187,0.154,0.148
Vermis VIIIb,0.551,0.429,0.135,0.106,0.679,0.538,0.549,0.163,0.111,0.407,0.644,0.133,0.661,0.234,0.223,0.654,0.15,0.154,0.153,0.162,0.19,0.132,0.223,0.146,0.311,0.235,0.286,0.249,0.12,0.148,0.469,0.922,0.179,0.27,0.443,0.157,0.191
Right VIIIb,0.202,0.328,0.578,0.223,0.962,0.26,0.169,0.303,0.191,0.533,0.209,0.181,0.776,0.174,0.235,0.521,0.444,0.176,0.791,0.226,0.42,0.144,0.836,0.205,0.079,0.67,0.547,0.132,0.288,0.252,0.549,0.928,0.195,0.944,0.204,0.204,0.17
Left IX,0.764,0.526,0.354,0.739,0.091,0.186,0.707,0.137,0.141,0.421,0.143,0.164,0.128,0.137,0.751,0.844,0.43,0.167,0.278,0.266,0.145,0.154,0.13,0.169,0.421,0.927,0.572,0.45,0.594,0.801,0.256,0.165,0.462,0.183,0.516,0.188,0.171
Vermis IX,0.196,0.229,0.44,0.912,0.142,0.221,0.021,0.271,0.142,0.331,0.448,0.17,0.99,0.133,0.311,0.792,0.682,0.318,0.773,0.436,0.164,0.154,0.682,0.175,0.018,0.015,0.095,0.805,0.17,0.142,0.695,0.909,0.304,0.808,0.173,0.19,0.239
Right IX,0.186,0.214,0.949,0.869,0.842,0.208,0.225,0.661,0.177,0.764,0.232,0.172,0.081,0.164,0.445,0.927,0.061,0.755,0.936,0.29,0.289,0.6,0.074,0.176,0.005,0.007,0.003,0.04,0.096,0.166,0.4,0.621,0.174,0.919,0.19,0.216,0.142
Left X,0.179,0.509,0.121,0.162,0.31,0.625,0.331,0.152,0.151,0.472,0.15,0.175,0.068,0.145,0.634,0.516,0.52,0.523,0.066,0.236,0.165,0.28,0.831,0.186,0.025,0.03,0.059,0.816,0.671,0.281,0.527,0.252,0.187,0.81,0.608,0.507,0.448
Vermis X,0.209,0.221,0.312,0.162,0.551,0.197,0.778,0.316,0.892,0.137,0.772,0.504,0.086,0.651,0.936,0.179,0.642,0.582,0.258,0.147,0.352,0.296,0.94,0.899,0.803,0.69,0.994,0.601,0.819,0.164,0.112,0.648,0.175,0.378,0.701,0.262,0.152
Right X,0.227,0.199,0.778,0.548,0.725,0.274,0.429,0.653,0.194,0.802,0.28,0.317,0.068,0.195,0.711,0.226,0.889,0.082,0.495,0.149,0.456,0.105,0.014,0.179,0.128,0.117,0.007,0.032,0.003,0.255,0.489,0.536,0.174,0.194,0.246,0.15,0.252
Left Dentate,0.235,0.226,0.596,0.161,0.147,0.277,0.029,0.17,0.814,0.148,0.165,0.572,0.058,0.304,0.061,0.167,0.75,0.618,0.741,0.651,0.274,0.604,0.723,0.824,0.05,0.043,0.135,0.9,0.916,0.235,0.253,0.222,0.11,0.115,0.153,0.951,0.703
Right Dentate,1.0,0.846,0.612,0.634,0.423,0.971,0.736,0.486,0.152,0.158,0.237,0.162,0.309,0.191,0.21,0.317,0.546,0.839,0.349,0.181,0.281,0.408,0.262,0.709,0.498,0.358,0.466,0.839,0.925,0.214,0.988,0.721,0.891,0.178,0.169,0.172,0.78
Left Interposed,0.557,0.695,0.776,0.173,0.911,0.96,0.199,0.244,0.224,0.483,0.418,0.222,0.503,0.184,0.267,0.444,0.425,0.178,0.168,0.175,0.162,0.176,0.237,0.475,0.429,0.623,0.38,0.82,0.846,0.494,0.8,0.832,0.272,0.568,0.16,0.152,0.153
Right Interposed,0.782,0.832,0.917,0.53,0.192,0.747,0.388,0.377,0.243,0.294,0.51,0.308,0.157,0.815,0.788,0.317,0.88,0.161,0.954,0.227,0.768,0.994,0.985,0.652,0.126,0.085,0.057,0.727,0.797,0.218,0.386,0.992,0.23,0.155,0.277,0.17,0.214
Left Fastigial,0.474,0.735,0.412,0.426,0.861,0.999,0.311,0.265,0.166,0.326,0.316,0.188,0.753,0.251,0.256,0.465,0.699,0.269,0.255,0.291,0.325,0.379,0.886,0.333,0.147,0.887,0.107,0.39,0.954,0.55,0.011,0.009,0.36,0.04,0.228,0.379,0.149
Right Fastigial,0.577,0.294,0.25,0.595,0.45,0.333,0.254,0.555,0.486,0.795,0.62,0.543,0.083,0.839,0.104,0.325,0.82,0.322,0.576,0.661,0.737,0.714,0.931,0.613,0.945,0.979,0.888,0.038,0.014,0.376,0.183,0.071,0.191,0.446,0.266,0.473,0.588
